"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"15",16,16,16,16,13,0,13,0,0,16,16,16,13,13,0,0,0,0,0.421555297250744,0.480075609945326,0.20722158499464,0.344299683257861,0.286193944839016,0.279173041975247,0.172722518302154,0.110821298587356,0.136627415098876,0.443145207784848,0.289020700946737,0.590363691730254,0.428709021156562,0.162624834094748,0.279173041975247,0.0679734334205087,0.110821298587356,0.136627415098876,0.311982759769132,0.488755781305184,0.763178743111807,0.261513260825038,0.136175556865919,0.332180870594132,0.269372514456877,0.161891204056331,0.244176227492511
"16",16,16,16,4,13,13,13,0,0,16,16,13,16,13,13,0,13,0,1.03678266988041,0.325333269179235,0.660424324450436,0.243668877106981,0.420246931462045,0.209961105323212,0.180414558412255,0.114757447279403,0.139012374516751,0.767251245537359,0.302289605492894,0.459872030066186,0.3955096609744,0.184762597785931,0.0805014989140674,0.0686902302320812,0.114757447279403,0.139012374516751,0.404393097854722,0.382464507428973,0.199845740121257,0.423290989196947,0.27885489178446,0.100152998039145,0.285957495334197,0.0531696449374646,0.224451366812723
"17",16,16,16,16,13,13,13,13,0,16,16,16,1,13,13,13,13,0,0.807085677801772,0.388400278273404,0.396704667197093,0.140249549392177,0.322680969940183,0.169078922563133,0.145196379475877,0.167842978480344,0.126216925248896,0.426625072544003,0.307245227505043,0.322633242341572,0.307907840441866,0.111333983979048,0.0779494719582302,0.0510980997376097,0.101680878703731,0.126216925248896,0.393369104778846,0.415128141857066,0.435189739296374,0.215366065344896,0.210679176983119,0.0665595663350855,0.0539755438738471,0.11686428723508,0.1800681542307
"18",16,16,15,16,13,13,13,13,0,16,16,4,3,2,13,13,13,0,0.332787400228461,0.229256223268049,0.143399053040618,0.199922158940002,0.252825552411598,0.16108921759259,0.173919870194094,0.157083459452586,0.126383310396359,0.294029025484961,0.42485597221898,0.226171715352454,0.323230049383489,0.138771459247702,0.0589784978946349,0.0484275508193796,0.0478190213339051,0.126383310396359,0.325398705581694,0.439159924745568,0.311540616638801,0.425079898907945,0.495008769974607,0.0669602547883864,0.0730839956480913,0.117818166848193,0.193879098161032
"19",16,16,16,2,15,13,0,13,13,16,16,14,13,15,0,0,13,0,0.382024720788545,0.491725104430722,0.594910340225412,0.369794413680753,0.354140083737187,0.209420455174627,0.203937951683355,0.14273581735797,0.154412387861084,0.328437715706108,0.93933710200065,0.366345453862318,0.337899277249769,0.381523438689856,0.0936285356080968,0.203937951683355,0.0366625032241034,0.0508559517047897,0.313737884963957,0.48637665340348,0.401597912872133,0.246643577657174,0.522193289352939,0.248442097555596,0.289904040651706,0.0435060007868866,0.196098435003407
"20",16,16,16,13,13,13,13,0,0,16,16,16,13,6,13,13,0,0,0.79418888993256,0.421257193737939,0.256598605701377,0.158522520849651,0.196353204631658,0.11183068778109,0.100674478792574,0.204110472544865,0.0901578021808608,0.63628386830546,0.298300829107468,0.388955181322194,0.133936037915617,0.0686877842554921,0.0586769066443656,0.0587588491991565,0.204110472544865,0.0901578021808608,0.885196610733583,0.25705035204242,0.418519070786007,0.191377744690906,0.169093165269291,0.0707645753870113,0.0947577851730252,0.316888572341429,0.101223939492562
"21",16,16,2,3,6,13,13,0,0,16,16,15,15,16,13,0,0,0,0.488906294001212,0.632370993343659,0.244709063588309,0.323515508322027,0.155277633286562,0.216112741050688,0.185231706576254,0.172700234784916,0.0965634531910405,0.386808306357597,0.392817239338683,0.429195542504131,0.564191362097992,0.281852076224999,0.10350508914444,0.124832773688644,0.172700234784916,0.0965634531910405,0.489753739669547,0.373486605040217,0.372813183811955,0.343583089155333,0.453634992006788,0.137941525919179,0.222547874916446,0.179155050168756,0.158106880382061
"22",16,16,16,14,6,13,13,0,13,16,16,3,13,13,13,13,0,0,1.23673190742432,0.41301860573571,0.155672365901768,0.147789099240555,0.367526333334288,0.212838267843474,0.133057399896817,0.111253677482265,0.0844184190863317,0.708683202909241,0.45499094089521,0.317949050096054,0.282911552249999,0.239964566012614,0.0701901675694224,0.0350036077096621,0.111253677482265,0.0311594489410249,0.929356332842283,0.388239146303465,0.77216501739985,0.0914043028447206,0.156873599830786,0.0689671249046398,0.0509253414158156,0.189044842456139,0.119895559627336
"23",16,16,16,4,14,13,13,13,0,2,16,15,13,2,0,0,13,0,0.582912751429257,0.386836874307073,0.450540588838313,0.252308668521945,0.160562670576743,0.148329422681687,0.208682736013684,0.149658814155791,0.120203164226637,0.546807025453053,0.462796402337837,0.396808466787014,0.569629237247789,0.219133262552398,0.0553142825773529,0.043520475674565,0.0544306686498238,0.120203164226637,0.567285752076573,0.617438697962341,0.450976050348281,0.168200517293019,0.510427453142766,0.250638670923606,0.231795482615581,0.0940011412325808,0.203704827229092
"24",16,16,14,16,13,13,13,13,13,16,16,16,2,13,0,0,0,0,0.325794632057117,0.129894856435532,0.381970069091783,0.229503609903327,0.180587079619374,0.16638881635779,0.0853975327205597,0.111288430296544,0.0801535375636273,0.253571933282063,0.441308781762052,0.381560190597403,0.2672338598512,0.100244044933647,0.0589453801056504,0.0482872475082447,0.0357224412408092,0.0366483844905515,0.267128435313485,0.595941719380662,0.360200773627265,0.393623463330481,0.165227965551955,0.299486752204492,0.236352751412038,0.249097099778315,0.198687782518976
"25",16,16,14,6,1,13,13,0,0,16,16,1,15,14,13,0,13,0,0.58366665860073,0.372459028107624,0.351923003372201,0.228868855952186,0.350135722588835,0.157046388521421,0.166389575338617,0.109873594585878,0.102297810528001,0.27559856096998,0.318196857049476,0.703415073119134,0.242522482060385,0.272493017569443,0.0571868956068461,0.0681020978737133,0.109873594585878,0.102297810528001,0.546546812192383,0.398369317110723,0.364475605423561,0.59761656293039,0.416484452114976,0.139679832345536,0.352972812215905,0.0594046364125117,0.12400639135031
"26",16,16,13,13,13,13,13,13,0,16,16,5,6,13,13,0,0,0,0.457075684688067,0.282852248586465,0.221440185035054,0.308779009353948,0.238301991739523,0.190722337245832,0.200343499303958,0.146446539240821,0.10901402302333,0.355972260732337,0.243285966671934,0.155271744753234,0.053833420336102,0.210140584306136,0.0929546884391932,0.0635536287689522,0.0557055821215277,0.10901402302333,0.359464885557362,0.454849983450354,0.264104711898474,0.34338946106448,0.213233858088691,0.211754763215148,0.268503202872288,0.213416087256127,0.214227643211955
"27",16,16,16,2,13,13,13,13,0,16,16,16,14,13,13,0,13,13,1.65649783043409,0.498619660049981,0.312658490334363,0.244295304046643,0.17820815881118,0.1331032324157,0.258513395462843,0.121824085032965,0.105773099401028,0.431355501870196,0.249935180158349,0.24301030679043,0.342493451294042,0.118819042371383,0.0510278566488858,0.111664095094855,0.0473506389780157,0.105773099401028,1.33093661438294,0.260156864466686,0.316678172724866,0.380039078952661,0.201691611344709,0.0862802961406046,0.267644137631648,0.0546408477098662,0.0416122800260567
"28",16,16,16,15,13,13,13,13,0,16,16,13,13,13,13,0,13,0,0.597023497420579,0.25305612841268,0.273512326794193,0.257064408905409,0.393228266105986,0.240427093476279,0.114078720571994,0.19471299573896,0.106759522404435,1.00917509330182,0.452264030026062,0.29680872612051,0.323079008079031,0.133188118760982,0.108746351625071,0.0460600218816439,0.0670014762800395,0.106759522404435,0.533755183479547,0.418576439074065,0.152924692057177,0.217988253821203,0.120010791594586,0.16144166914931,0.307083677243785,0.130427246333168,0.155231396571575
"29",16,16,5,13,13,13,13,13,0,16,16,14,2,13,13,13,0,0,0.783723290268601,0.260599708239034,0.368887285535771,0.286242875298101,0.273335313797517,0.118354972596659,0.249609986173308,0.10195171194624,0.0833225543168477,0.685734418804959,0.414380001573671,0.256692726385613,0.0838102379785472,0.151984593316647,0.0474646409489476,0.099672597656901,0.0443763757374214,0.0833225543168477,0.570934795453092,0.613719590636789,0.486045676044631,0.43170007521487,0.363522894151103,0.0790984679741539,0.131829085073183,0.204954876667061,0.174914861359047
"30",16,16,16,13,13,13,13,0,0,16,16,16,13,15,0,13,0,0,0.843278392420258,0.749562236665026,0.330207267027349,0.463164312848424,0.212959524094969,0.246898327466786,0.157182741743766,0.0917925907282498,0.106230238564751,0.25815038984689,0.479532554498024,0.401512812517137,0.24784939476618,0.0886195544094318,0.102257250926759,0.0593874552583404,0.0917925907282498,0.106230238564751,0.390822312087682,0.271666620422666,0.370764374425091,0.407968812909802,0.535181439047198,0.51797039909492,0.0677867445986554,0.173136937736247,0.148945046530015
"31",16,16,6,5,13,13,13,13,0,16,16,6,14,13,13,0,0,0,0.267931952647237,0.201357224704198,0.520219117192473,0.157569676484349,0.155865563927486,0.134401320698282,0.113999730120143,0.1203544065422,0.0627574543167534,0.615499299915818,0.436287770340652,0.390060238034999,0.223797599300462,0.0564891477478345,0.0390667815293946,0.0635371693488033,0.0383672361996319,0.0627574543167534,0.889437384496134,0.553602681545117,0.402662006851555,0.482397694958603,0.0992745162181999,0.0962902042970045,0.311483883925484,0.214413675603584,0.143483101281058
"32",16,16,6,15,13,13,0,13,0,16,16,4,16,15,13,0,13,0,0.355607622971855,0.291464491577825,0.305883600262935,0.356756238640368,0.42420508558362,0.156281520085344,0.191021430535145,0.122031131675166,0.0903404992170707,0.365150366311652,0.316484184764021,0.448441423590873,0.429682810600703,0.121229820463927,0.0479899889524299,0.191021430535145,0.0408904327827722,0.0903404992170707,0.386615809609033,0.371134472357767,0.263658955835863,0.450398095231703,0.651088850949389,0.0481768772658865,0.2152038303544,0.0465599776029392,0.134213204286401
"33",16,16,16,6,13,13,13,0,0,16,14,4,2,15,0,0,0,13,0.830471481162367,0.352685323665957,0.218007260610529,0.231918088016429,0.208365493497617,0.184553697249167,0.122799951107211,0.167007694396921,0.0794261044388659,0.657050280556213,0.434047369025228,0.415698394207878,0.377843053198509,0.0389620162853845,0.0705009021155251,0.0478624125415808,0.167007694396921,0.0794261044388659,0.775271104514994,0.557174849318957,0.429154163855814,0.394177366640848,0.31739361610776,0.250852511692347,0.15939803692747,0.302194224267446,0.0447252054514906
"34",16,16,13,15,2,13,13,0,0,16,2,13,6,0,13,13,13,0,1.03589085483667,0.464445634704665,0.31897407966906,0.532172712224532,0.284931257340372,0.127054641640289,0.131640585789795,0.120279043077055,0.0922508391923028,0.453814241419685,0.588087012874302,0.0892853261342815,0.720805877939306,0.313978162917862,0.0406291421583109,0.0258416090194286,0.120279043077055,0.0922508391923028,0.884036461590264,0.623137668336456,0.217963166187874,0.291477169099538,0.30852736452458,0.174665737872333,0.0539927159454947,0.0884856265770165,0.221596362164879
"35",16,16,16,5,13,13,13,0,0,16,16,3,14,6,13,13,0,0,0.668771379012066,0.0935705982822646,0.206294454718117,0.24475122171924,0.273761565726501,0.172982434847872,0.20253131897921,0.198641096726051,0.0903974202940971,0.73881979867673,0.303056621851613,0.38893000138766,0.28133292676153,0.057878195995024,0.068310869621298,0.0443557390039082,0.198641096726051,0.0903974202940971,0.485235519135251,0.349450576186737,0.526703883634607,0.395491101531665,0.320293549917387,0.119840623779372,0.0678650488941859,0.211593319459637,0.172949406282279
"36",16,16,16,6,5,13,13,0,0,16,16,16,13,13,13,13,0,13,0.0353275822466881,0.44750982994614,0.607858963895729,0.478363960076829,0.280915510409108,0.144073531904695,0.0890316775047374,0.111087945995747,0.132225396417951,0.129517006402883,0.484865501841549,0.536827910469815,0.316126867302062,0.324985877874207,0.0530059466254456,0.0347647047780563,0.111087945995747,0.132225396417951,0.191220048662455,0.42888086435063,0.568301015167633,0.530802952912642,0.3245461418506,0.179374883332313,0.071971134914598,0.128995022129027,0.0907666555516364
"37",16,16,5,6,13,13,13,13,0,16,16,15,13,0,0,0,0,0,1.1504791881758,0.788248384340173,0.356099405919949,0.158967764048439,0.55269529050994,0.334325839812159,0.141079007114357,0.175703994114752,0.13350310111208,0.49504079601022,0.806021027985298,0.253861749707631,0.393554286020859,0.173488868490758,0.109754211917305,0.0727747355413121,0.0430127438686562,0.13350310111208,0.4423132481695,0.577072884416051,0.566970200562273,0.137490698560058,0.377358959167715,0.314879740738047,0.27598659453546,0.232209833680856,0.184349308116438
"38",16,16,2,2,13,13,13,13,0,16,16,3,16,13,13,0,0,0,0.501233484674316,0.656803604634704,0.17696380232807,0.311448979156931,0.160855920635793,0.259191917441288,0.104082482000785,0.136856486507788,0.0913930873960255,0.600625437064898,0.378725581728899,0.555025043551411,0.405805406659304,0.0935233393890593,0.188972921364571,0.0509775461517523,0.0502027433431478,0.0913930873960255,0.477163122488545,0.369889449675119,0.387848962414066,0.369455425277803,0.114727370476269,0.168954380493435,0.201234383709611,0.284608159574564,0.0984574131057972
"39",16,16,14,14,13,13,13,0,0,16,15,13,13,6,13,0,0,0,0.724398049885975,0.445383145937415,0.399283272654694,0.265823698537098,0.169938338435257,0.256505766918768,0.17102288141908,0.12445773352045,0.119886987557195,0.4338170450144,0.282731680709478,0.47051978576053,0.513297769936241,0.0479926827961203,0.0565962912955842,0.050689178569037,0.12445773352045,0.119886987557195,0.544650435624716,1.10991727864059,0.172410644564051,0.273615336754693,0.293478249610253,0.144830824790096,0.200997431764821,0.236159246798654,0.179410976196906
"40",16,6,3,13,13,13,13,0,13,16,13,6,16,13,13,13,0,0,0.338325961955902,0.285837210568779,0.452416667781938,0.358903428347163,0.259085709758949,0.154899996341223,0.201694732669955,0.161653540643054,0.145038921956664,0.44932379920588,0.31888418431885,0.406378298616576,0.106212171906031,0.147937346707056,0.0463542577455544,0.0720354166210993,0.161653540643054,0.0313189283505125,0.826486714768031,0.14592278949066,0.359710408533618,0.516164323586526,0.166932030852862,0.0376153028017451,0.121551074715357,0.179839164062113,0.203679726916065
"41",16,16,16,2,13,13,13,0,13,16,16,3,13,13,13,0,13,0,1.1352386676256,0.644778124394688,0.352648073938717,0.425847572807816,0.124103470363301,0.242443743968367,0.131563231859999,0.25477345176771,0.076598794052441,0.453107908403284,0.272884248932651,0.423619751072348,0.335396100965798,0.085565976632445,0.0809452933821408,0.0503644664749222,0.25477345176771,0.041171697973836,0.502366644351427,0.478102347371469,0.620234614390164,0.169897606586582,0.113854332495853,0.123241132818347,0.216151729051714,0.122387418370112,0.143667915594932
"42",16,16,13,13,13,13,13,13,0,5,16,16,16,5,0,13,0,0,0.497144274601067,0.207717817831918,0.181446614458278,0.219238428886591,0.35268814611034,0.324621137192474,0.174460633652166,0.108544451303878,0.104599434716377,0.36303757627256,0.293951959142661,0.146334653728917,0.0629926949775188,0.127355333447482,0.0803829225923982,0.084454322768963,0.0392219527580112,0.104599434716377,0.46073773065477,0.209828780660121,0.440499408078907,0.377924711477117,0.27127124323875,0.190784955804975,0.112285616202728,0.228808225062774,0.193386290433995
