"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81"
"1",16,16,1,13,13,13,13,13,0,16,16,7,13,13,13,13,13,0,16,16,9,0,0,0,0,0,0,16,16,5,0,0,0,0,0,0,0.902128177895509,0.418822575649124,0.247180669523671,0.202148369564271,0.155652894121359,0.33288612351643,0.188651369417127,0.120941221640172,0.0912417926225126,0.295456707070458,0.352896354853044,0.198382784741468,0.089076712931004,0.0757808974688865,0.105688721912779,0.0836409689639066,0.056325243423979,0.0912417926225126,0.295456707070458,0.352896354853044,0.479182934900011,0.0890765891061376,0.0757800769704563,0.105688728461885,0.0836407099282489,0.0563252982652394,0.0912417926225126,0.295456707070458,0.352896354853044,0.285136620073577,0.202148369564271,0.155652894121359,0.33288612351643,0.188651369417127,0.120941221640172,0.0912417926225126,0.295456707070458,0.352896354853044,0.251195502454121,0.202148369564271,0.155652894121359,0.33288612351643,0.188651369417127,0.120941221640172,0.0912417926225126
"2",16,16,13,7,13,13,13,13,0,16,16,10,8,13,13,13,13,0,16,16,10,12,0,0,0,0,0,16,16,0,6,0,0,0,0,0,0.390817981899321,0.216447121105789,0.314346967425796,0.565577617600914,0.178210856586124,0.131895270995857,0.0929217198673304,0.0744828054169656,0.115410165288437,0.367898631473109,0.249592039338169,0.18185223619313,0.520425026833046,0.0663977980942403,0.064380720865712,0.0497308340787281,0.0536308130710645,0.115410165288437,0.367898631473109,0.249592039338169,0.264387555351362,0.683635838090271,0.0663977980942403,0.064380720865712,0.0497346546294581,0.0536308119205324,0.115410165288437,0.367898631473109,0.249592039338169,0.264387555351362,0.444168661324786,0.178210856586124,0.131895270995857,0.0929217198673304,0.0744828054169656,0.115410165288437,0.367898631473109,0.249592039338169,0.314346967425796,0.401779700443844,0.178210856586124,0.131895270995857,0.0929217198673304,0.0744828054169656,0.115410165288437
"3",16,16,16,2,13,13,13,0,0,16,16,16,1,13,13,13,0,0,16,16,16,1,0,0,0,0,0,16,16,16,1,0,0,0,0,0,0.159567554025215,0.196952664327942,0.203969281970769,0.215972172059351,0.363358472210402,0.208486162048315,0.143100701281752,0.157844706177196,0.140977879673175,0.389936822030342,0.379043371231709,0.288962033567866,0.256423827460667,0.102777189744765,0.0985644521629557,0.0394009376658076,0.157844706177196,0.140977879673175,0.389936822030342,0.379043371231709,0.288962033567866,0.259635165107947,0.10280335410337,0.0985644840152889,0.0392896839567965,0.157844706177196,0.140977879673175,0.389936822030342,0.379043371231709,0.288962033567866,0.259635308430769,0.363358472210402,0.208486162048315,0.143100701281752,0.157844706177196,0.140977879673175,0.389936822030342,0.379043371231709,0.288962033567866,0.259635165107947,0.363358472210402,0.208486162048315,0.143100701281752,0.157844706177196,0.140977879673175
"4",16,16,11,13,9,13,13,13,0,16,16,11,13,9,13,13,13,0,16,16,2,11,9,0,0,0,0,16,16,16,0,6,0,0,0,0,0.966508459109954,0.289290888144929,0.482505368777099,0.190928201279896,0.178688998562269,0.178678297479579,0.17784704796514,0.119426721312563,0.0844359926485529,0.449316589466775,0.431546605712526,0.563895475542313,0.0918000317982852,0.301031869725471,0.0526648002547366,0.0672179656819023,0.0524763128419133,0.0844359926485529,0.449316589466775,0.431546605712526,0.563895475542313,0.0918000317982852,0.301031869725471,0.0526646592204957,0.0672176661236916,0.0524763149111276,0.0844359926485529,0.449316589466775,0.431546605712526,0.472272574310916,0.186365801061075,0.301031869725471,0.178678297479579,0.17784704796514,0.119426721312563,0.0844359926485529,0.449316589466775,0.431546605712526,0.39355352995277,0.190928201279896,0.305532088100928,0.178678297479579,0.17784704796514,0.119426721312563,0.0844359926485529
"5",16,16,6,14,13,13,13,13,0,16,16,5,10,13,13,13,13,0,16,16,9,1,0,0,0,0,0,16,16,2,6,0,0,0,0,0,0.672910906584435,0.333970220851006,0.37387428381137,0.163677402483642,0.245284623148494,0.186483175624472,0.123570253343227,0.122563842789844,0.0658998056960025,0.33328261941104,0.371619184316534,0.212003880916318,0.561913375611266,0.0835074966141304,0.0543359008387708,0.0404670815984431,0.0473466007505571,0.0658998056960025,0.33328261941104,0.371619184316534,0.307613677381802,0.263326746444098,0.0835075271052193,0.0543354811618336,0.0404674787954334,0.0473466140388918,0.0658998056960025,0.33328261941104,0.371619184316534,0.265403603448954,0.348533943167896,0.245284623148494,0.186483175624472,0.123570253343227,0.122563842789844,0.0658998056960025,0.33328261941104,0.371619184316534,0.450653092229239,0.178569864151255,0.245284623148494,0.186483175624472,0.123570253343227,0.122563842789844,0.0658998056960025
"6",16,16,16,10,13,13,0,13,0,16,16,16,1,13,13,0,13,0,16,16,16,1,10,0,0,0,0,16,16,16,1,0,0,0,0,0,0.42920351531755,0.446279831843772,0.401226911415111,0.214362360512328,0.234710634338882,0.161233930207422,0.130786711844382,0.175520986337198,0.104136618013641,0.167013264916355,0.228493986737715,0.357717637495803,0.200411248947538,0.102863500422826,0.0695055163828695,0.130786711844382,0.0392304467450546,0.104136618013641,0.167013264916355,0.228493986737715,0.357717637495803,0.26391425452429,0.102863242736338,0.0695055163828695,0.130786711844382,0.0392304467450546,0.104136618013641,0.167013264916355,0.228493986737715,0.357717637495803,0.263914285695261,0.291152654947182,0.161233930207422,0.130786711844382,0.175520986337198,0.104136618013641,0.167013264916355,0.228493986737715,0.357717637495803,0.263914288653124,0.234710634338882,0.161233930207422,0.130786711844382,0.175520986337198,0.104136618013641
"7",16,16,16,13,10,13,13,0,0,16,16,16,13,7,13,13,0,0,16,16,16,11,7,0,0,0,0,16,16,16,5,16,0,0,0,0,0.290298036051635,0.46822084348504,0.194279684891303,0.198210925245227,0.162796054849523,0.206323020847707,0.166930457229549,0.133292728758384,0.0776681521864745,0.359659803986584,0.266826175082464,0.494227261354828,0.104312892818975,0.229258419696869,0.0349794583918215,0.0574567990565991,0.133292728758384,0.0776681521864745,0.359659803986584,0.266826175082464,0.494227261354828,0.104322461266872,0.25452922258612,0.0351458365277836,0.0574567617688771,0.133292728758384,0.0776681521864745,0.359659803986584,0.266826175082464,0.494227261354828,0.332655377438371,0.254529281130601,0.206323020847707,0.166930457229549,0.133292728758384,0.0776681521864745,0.359659803986584,0.266826175082464,0.494227261354828,0.333128071150127,0.253021444240973,0.206323020847707,0.166930457229549,0.133292728758384,0.0776681521864745
"8",16,16,16,13,16,13,13,13,0,16,16,16,13,16,13,13,13,0,16,16,16,2,16,0,0,0,0,16,16,16,2,16,0,0,0,0,0.354180143232489,0.213075450100837,0.368999167387846,0.270594680535091,0.263530464051213,0.202848168448307,0.175436865115476,0.164914850901813,0.14386300419899,0.440425250179139,0.216153039613986,0.426877947565967,0.0918638610445157,0.386899633103677,0.0892325025756202,0.0448532051233751,0.0688297758999186,0.14386300419899,0.440425250179139,0.216153039613986,0.426877947565967,0.0918638610445157,0.386899633103677,0.0892357956476752,0.044853176930593,0.0535155308055836,0.14386300419899,0.440425250179139,0.216153039613986,0.426877947565967,0.328862994683681,0.386899633103677,0.202848168448307,0.175436865115476,0.164914850901813,0.14386300419899,0.440425250179139,0.216153039613986,0.426877947565967,0.328863027634853,0.386899633103677,0.202848168448307,0.175436865115476,0.164914850901813,0.14386300419899
"9",16,16,16,5,13,13,13,0,0,16,16,16,2,10,13,13,0,0,16,16,16,5,10,0,0,0,0,16,16,16,2,0,0,0,0,0,0.50588511788058,0.275591692233359,0.24911352138593,0.282088478693704,0.26826165623446,0.172781163941258,0.174114795957621,0.104179308940559,0.101858195296872,0.334482949221296,0.303030985575073,0.260851852020997,0.221194380090449,0.0889689889036397,0.0391203492407382,0.0650006360495913,0.104179308940559,0.101858195296872,0.334482949221296,0.303030985575073,0.260851852020997,0.235512010330715,0.22872716207197,0.0374063954962717,0.073289179713744,0.104179308940559,0.101858195296872,0.334482949221296,0.303030985575073,0.260851852020997,0.221194380035675,0.228727438982836,0.172781163941258,0.174114795957621,0.104179308940559,0.101858195296872,0.334482949221296,0.303030985575073,0.260851852020997,0.235512039711257,0.26826165623446,0.172781163941258,0.174114795957621,0.104179308940559,0.101858195296872
"10",16,16,12,16,13,13,13,13,13,16,16,2,16,13,13,13,13,13,16,16,9,16,0,0,0,0,0,16,16,6,16,0,0,0,0,0,0.85465320767898,0.203832206619912,0.501058462479087,0.126054456955896,0.13500168383967,0.139946156134263,0.191486552571924,0.122787660168336,0.0700454124771765,0.60845484030828,0.242423008991436,0.27174302286821,0.343458312192066,0.0655241750962036,0.0798740328710018,0.0845067906167639,0.0302642047594723,0.0293686618881558,0.60845484030828,0.242423008991436,0.366402990358204,0.343458312192066,0.0655241750962036,0.079872877643379,0.0844929034819711,0.0302642047594723,0.0293704789943457,0.60845484030828,0.242423008991436,0.34289429084708,0.343458312192066,0.13500168383967,0.139946156134263,0.191486552571924,0.122787660168336,0.0700454124771765,0.60845484030828,0.242423008991436,0.351080041389024,0.343458312192066,0.13500168383967,0.139946156134263,0.191486552571924,0.122787660168336,0.0700454124771765
