"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1",10,10,10,10,10,10,10,10,0,10,9,0,10,5,0,3,10,0,0.198069953919484,0.303360924600964,0.156613296662041,0.253403421744135,0.169324909869173,0.179332108161915,0.0957962452091284,0.113266366185313,0.070267929278089,0.00345986899872695,0.00733739341185181,0.00580511381669989,0.00212725280611873,0.000426703702988513,0.00437644571655764,0.00111865043048283,0.000293238549068338,0.070267929278089,0.00817921149827525,0.102532124523632,0.367960578410342,0.0363034765011411,0.0545500609247691,0.2819253207453,0.036176371031993,0.000321926375402195,0.11458035882737
"2",10,10,10,10,10,9,8,10,10,6,0,2,10,10,0,0,10,10,0.23558019922554,0.093292659942523,0.261791816931759,0.274142683996355,0.14117800286951,0.161596513258013,0.0762267294930364,0.0598400924094861,0.0818782132686075,0.289522323546027,0.0129000552158495,0.0146109165316194,0.000699332368043388,0.00144373161422844,0.0115570035864744,0.0169255647795114,0.000859099225512959,0.000505539861807378,0.554748721924474,0.151879346269111,0.137611268201442,0.00276681128337986,0.00485715045324533,0.161399211032764,0.111551154779744,0.00277822545161363,0.000926800319863227
"3",10,10,10,9,10,10,10,5,10,10,0,7,4,2,10,10,0,8,0.109189039797253,0.103165714273636,0.17889841649807,0.188281891393969,0.255524878632064,0.182603554190165,0.0880619890859046,0.0541437945058802,0.0710951058114613,0.0354673102182855,0.00724821032989743,0.00340776654606422,0.0231256475220092,0.00376856318256841,0.00749723201945868,0.00209772467808475,0.00641075100336251,0.000553140687468245,0.0644903423426732,0.39401226072408,0.18769433526696,0.073734876939871,0.100754574261173,0.01906028795901,0.00313832785680419,0.130225082992979,0.0134455274885611
"4",10,6,10,10,10,5,10,10,10,3,0,8,10,2,0,2,10,0,0.632033173545141,0.339487933044166,0.201590788722276,0.368905632243261,0.144995405202257,0.24742649398396,0.225905003702363,0.0966923366064638,0.0728972397206042,0.0267596543626746,0.212934581242818,0.00163364616858565,0.00190442384727938,0.00186874358630411,0.0432282716668572,0.000550222716545572,0.00327542219881099,0.00141276188459682,0.434379526205772,0.329690438439947,0.130153516893287,0.0149963917576062,0.0585562170926866,0.339022318635009,0.0352642087142138,0.00345117305468263,0.106454837971444
"5",10,10,10,10,10,10,10,10,10,10,6,4,10,1,4,0,10,10,0.0719007270674374,0.239102761359254,0.173760883357048,0.0573848702627875,0.235828031771369,0.182398405460431,0.119490853910328,0.137857418085247,0.079993834233596,0.00744916300531043,0.00717379653687132,0.00190751121237199,0.00144873529084424,0.00926425292192356,0.000397863270165474,0.000213141606370612,0.000908563080305562,0.00123075654772618,0.0156553705893624,0.043323899818483,0.135801467233606,0.00189773536826576,0.123075759183895,0.101043893223477,0.118516579081401,0.00110817407648072,0.000864261423960266
"6",10,10,10,3,10,10,10,10,10,2,4,10,0,0,10,9,7,3,0.434133033020369,0.413285160623131,0.197117875422379,0.210251992282673,0.314730455102036,0.152424922968849,0.122336261286594,0.0767687936519221,0.0603721838038781,0.048494108618202,0.0609163975171827,0.0098387266315902,0.11123390039162,0.00127366660340951,0.00644444031793365,0.00456198043936551,0.00090676621513112,0.00160145773349227,0.263324653161714,0.501458219375711,0.0116089798506075,0.298140212375547,0.138661195297005,0.00617200826571154,0.0703681974274345,0.0410376618087415,0.0187314152964053
"7",10,10,10,10,10,10,10,10,10,10,2,9,3,10,0,0,10,10,0.295395582880324,0.240382520412249,0.189988860845123,0.179859834037237,0.249920823201862,0.0710851521005457,0.095057604310691,0.134544772250842,0.0665286629607716,0.0262279572765024,0.0147320395336546,0.00310014401223424,0.00110763408685969,0.00347410964357127,0.00110278054130498,0.00169509545994706,0.00331179775236077,0.000545480079893855,0.0314555986328097,0.238290882988413,0.0809429789130194,0.0553499258229278,0.0141004922449092,0.159986332728942,0.282785715850806,0.00420924027199569,0.000701549365924419
"8",7,10,10,10,10,10,10,10,10,1,10,10,10,3,0,7,7,0,0.45745818394765,0.0982085031111538,0.437923970922721,0.173145454764127,0.174510107596118,0.106138452939697,0.121761129956616,0.103692390500435,0.112382472258535,0.197698302088728,0.0130594176285348,0.00125695390132943,0.00249506955084841,0.00217559963392732,0.000644140801811688,0.00160786567538725,0.000252372171061997,0.000426513246526973,0.170045332717526,0.395223890570504,0.00154008715515281,0.0100451942808291,0.1318462760782,0.280624533706684,0.0369663605080345,0.0353285191240535,0.186192500902773
"9",10,10,10,3,10,10,10,10,10,2,2,3,7,10,7,10,0,10,0.2501495598334,0.273535433677672,0.236039362651242,0.108586266547995,0.186830670609151,0.196133535624449,0.150239157520233,0.112289783302981,0.0649272099463572,0.0684075156679587,0.00253253323055426,0.00805653408621599,0.0204334471692422,0.00366163476608169,0.00258545667777815,0.0015979773710784,0.000336797924606777,0.000277913148049853,0.202104882633854,0.147863662641423,0.153895078127964,0.054754988087093,0.00613322939770306,0.0526151341279063,0.00372301549384771,0.119943024381597,0.000565773543161036
"10",10,10,5,10,10,10,10,10,10,9,10,10,0,0,10,10,8,1,0.606471527290923,0.123556653083198,0.15985327192265,0.187803323239311,0.172438047574058,0.158993301708858,0.149809612439812,0.147401462451903,0.0755211819560403,0.0107167880108542,0.00676324116953399,0.0941701633897566,0.00265043313896629,0.00132373098872405,0.00167395427062831,0.00069384574477879,0.00065864486339327,0.000337203323732539,0.0778419452615729,0.0386486468333958,0.0282648440767409,0.162337182454351,0.193187536117676,0.00421012998005597,0.00116184732118691,0.0295557535288437,0.0254817287942248
"11",5,10,10,10,5,10,10,10,10,5,0,0,0,2,10,10,10,0,0.517286342513783,0.283709428144274,0.132716905579422,0.335517743430009,0.15721903725535,0.213557807608479,0.15089061424044,0.0573789765183421,0.0982245618168079,0.138088665615965,0.00277780303458207,0.0138721365838584,0.00346904219865737,0.0289457617240153,0.00113707094616992,0.000976538777665618,0.000545717201587468,0.000463665621910035,0.195537715473978,0.260272311126893,0.250326442492884,0.270215439309755,0.0406485437509909,0.00162476753161839,0.00244164322197085,0.00101292625422103,0.138471340805515
"12",10,10,10,10,10,10,6,10,10,0,10,10,1,5,10,0,10,7,0.347766544679683,0.0810192558626423,0.244160567364829,0.211707870474789,0.171114775084339,0.111652335576078,0.117969495066272,0.0902068109071602,0.0844566314467244,0.00892050008477173,0.00312677592597777,0.0105540161598984,0.00185711023237015,0.000627917756800271,0.000399522242937732,0.0245795513034353,0.00663255022795897,0.000247837390229454,0.726157521271829,0.0211023170545939,0.0151800298357971,0.188030427557344,0.0635255915231095,0.00272271617687269,0.1607776999628,0.00714618171813119,0.0157738513931849
