"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81"
"1",16,13,13,13,13,13,13,13,13,16,13,13,13,13,13,13,13,13,16,0,6,0,0,0,0,0,0,16,0,6,0,0,0,0,0,0,0.904870677484761,0.218146658201044,0.219664292223245,0.49689592185487,0.183325249271565,0.162893971654909,0.226881401916095,0.0928260288351557,0.109059625491182,0.357324116687682,0.194239409383785,0.0897569449270034,0.284551677947636,0.0794721580388821,0.0560813588418135,0.0658758237183249,0.0160557092514645,0.0236308167356834,0.357324116687682,0.194239409383785,0.0908861773172983,0.284551677947636,0.0794721580388821,0.0560813588418135,0.0658758237183249,0.0160557058019807,0.0236308167356834,0.357324116687682,0.218146658201044,0.28612939837823,0.49689592185487,0.183325249271565,0.162893971654909,0.226881401916095,0.0928260288351557,0.109059625491182,0.357324116687682,0.218146658201044,0.286129435129512,0.49689592185487,0.183325249271565,0.162893971654909,0.226881401916095,0.0928260288351557,0.109059625491182
"2",16,13,0,0,13,13,13,13,13,16,13,0,0,13,13,13,13,13,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0.626707948668118,0.392448067601389,0.679595662025105,0.199904937136816,0.235579667831144,0.216247439269972,0.184191205790651,0.139932939673308,0.0830395846809451,0.346842052360414,0.141493457302914,0.679595662025105,0.199904937136816,0.103606483209443,0.062029671310267,0.0341326903668804,0.0186728429580925,0.00961572540805631,0.346842052360414,0.141493457302914,0.679595662025105,0.199904937136816,0.116648549784977,0.0620257483010378,0.0341409945445381,0.0186728429580925,0.00962601797445434,0.346842052360414,0.392448067601389,0.679595662025105,0.199904937136816,0.235579667831144,0.216247439269972,0.184191205790651,0.139932939673308,0.0830395846809451,0.346842052360414,0.392448067601389,0.679595662025105,0.199904937136816,0.235579667831144,0.216247439269972,0.184191205790651,0.139932939673308,0.0830395846809451
"3",2,2,6,13,13,13,13,13,13,5,2,6,13,13,13,13,13,13,5,2,6,0,0,0,0,0,0,16,2,6,0,0,0,0,0,0,1.4507586881955,0.153629513762712,0.368049199864203,0.158916100602571,0.139459323914235,0.183295276321544,0.190965276280218,0.0870413787773462,0.0992746969750166,0.450729852324283,0.339144063097184,0.354547188007835,0.052614189539528,0.0453348506987318,0.0669478920319024,0.116873747529052,0.0180981246372767,0.0149243825446138,0.506123620814634,0.339144063097184,0.354547188007835,0.052607218964674,0.0453348506987318,0.066947833764283,0.116874301085158,0.0180981246372767,0.0149243240105924,0.506123620814634,0.339144063097184,0.354547188007835,0.158916100602571,0.139459323914235,0.183295276321544,0.190965276280218,0.0870413787773462,0.0992746969750166,0.602673002641776,0.339144063097184,0.354547188007835,0.158916100602571,0.139459323914235,0.183295276321544,0.190965276280218,0.0870413787773462,0.0992746969750166
"4",13,13,13,13,13,13,13,13,13,11,5,13,13,13,13,13,13,13,11,10,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0.635082633192363,0.392491735964825,0.351609841572612,0.168063051281823,0.178162097328476,0.322370256069253,0.158670907478111,0.163551033911234,0.0857697734791971,0.254271388759487,0.13639515914997,0.2584049719271,0.0473325417795448,0.0835369089677782,0.0746629104761176,0.0254012526628959,0.0523019761748258,0.0137033478516065,0.230300762377392,0.3155552163717,0.258404173229689,0.0494846027093694,0.0835368981475384,0.0746629104761176,0.0377833961027135,0.0523019761748258,0.013703282279471,0.230300869202309,0.257528494877322,0.351609841572612,0.168063051281823,0.178162097328476,0.322370256069253,0.158670907478111,0.163551033911234,0.0857697734791971,0.301364939917716,0.346407926085689,0.351609841572612,0.168063051281823,0.178162097328476,0.322370256069253,0.158670907478111,0.163551033911234,0.0857697734791971
"5",12,6,13,13,13,13,13,13,13,5,13,13,13,13,13,13,13,13,8,4,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0.831476234504612,0.231112923124269,0.326067290363371,0.241133515246327,0.218969905209087,0.249043568981151,0.128355119913122,0.107768625838846,0.1907230875946,0.522854706416938,0.450023017855187,0.212515139485994,0.0743949156283075,0.042038589043584,0.0686803056576034,0.022789462126764,0.0272020972853024,0.0359868423764155,0.574079868585859,0.084973643445522,0.212515139485994,0.0743949156283075,0.042038589043584,0.0686802651417275,0.0227893163781297,0.0272020972853024,0.0359893115167631,0.848537028440518,0.650568613513476,0.326067290363371,0.241133515246327,0.218969905209087,0.249043568981151,0.128355119913122,0.107768625838846,0.1907230875946,0.632028463967159,0.450023037654738,0.326067290363371,0.241133515246327,0.218969905209087,0.249043568981151,0.128355119913122,0.107768625838846,0.1907230875946
"6",16,13,13,13,13,13,13,13,13,16,1,13,13,13,13,13,13,13,16,1,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0.344426959127985,0.381855698853666,0.348737148533131,0.225236298314216,0.296297604119178,0.229910317520272,0.123252196550598,0.123122509062988,0.169679589416611,0.122300833751635,0.147198323430879,0.108769144504814,0.118502394438904,0.143961814687468,0.0731671425957652,0.0170711310186255,0.0222294839742048,0.0291162951992178,0.122300833751635,0.509102907303195,0.100330938436222,0.118502760206259,0.143961552663423,0.0731658640347902,0.0170742838111296,0.0222294839742048,0.0291164744679166,0.122300833751635,0.509087839223051,0.348737148533131,0.225236298314216,0.296297604119178,0.229910317520272,0.123252196550598,0.123122509062988,0.169679589416611,0.122300833751635,0.509131133892159,0.348737148533131,0.225236298314216,0.296297604119178,0.229910317520272,0.123252196550598,0.123122509062988,0.169679589416611
"7",16,11,13,13,13,13,13,13,13,16,11,13,13,13,13,13,13,13,16,11,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0.472921486069684,0.425651331827202,0.552642967387924,0.331201838518921,0.262480387179942,0.131900644688124,0.140366599888867,0.124422409340173,0.128620514243319,0.577462987663888,0.499308705365487,0.137688751655035,0.156377386301287,0.122522425461561,0.0226210604884332,0.0406448215249773,0.043083460951371,0.0301628756628555,0.577462987663888,0.496266651637786,0.137688751655035,0.156378615586031,0.122522157588432,0.0226210604884332,0.0330137887181111,0.0420274908729324,0.0301628756628555,0.577462987663888,0.500340463030979,0.552642967387924,0.331201838518921,0.262480387179942,0.131900644688124,0.140366599888867,0.124422409340173,0.128620514243319,0.577462987663888,0.425651331827202,0.552642967387924,0.331201838518921,0.262480387179942,0.131900644688124,0.140366599888867,0.124422409340173,0.128620514243319
"8",16,14,11,13,13,13,0,13,13,16,13,13,13,13,13,0,13,13,16,12,11,0,0,0,0,0,0,16,4,1,0,0,0,0,0,0,0.751656352114786,0.950374097116619,0.300967037829059,0.281441798900922,0.472982214606474,0.193696400973697,0.182097940527107,0.193654158643532,0.0531052948196084,0.616296629582635,0.992393906283431,0.615121375212077,0.0886640940079336,0.0818610989287383,0.021887974639601,0.182097940527107,0.0453444025188278,0.0082721360920888,0.616296629582635,0.515943495125131,0.118001429263841,0.0886642198968893,0.0818610989287383,0.021887974639601,0.182097940527107,0.0453444025188278,0.0082721360920888,0.616296629582635,1.08303504200202,0.615121375212077,0.281441798900922,0.472982214606474,0.193696400973697,0.182097940527107,0.193654158643532,0.0531052948196084,0.616296629582635,1.29747654824695,0.323283741729816,0.281441798900922,0.472982214606474,0.193696400973697,0.182097940527107,0.193654158643532,0.0531052948196084
"9",16,14,13,13,13,13,13,13,13,16,6,13,13,13,13,13,13,13,16,1,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0.552926426429934,0.57016987652538,0.273848222529229,0.28125846210692,0.241088790823766,0.172048262104991,0.176988791025676,0.133709191299337,0.0982497130605985,0.231582443592635,0.734314400895903,0.126727030681181,0.0721710821073948,0.0664472720669364,0.0398431998359375,0.0318428523980334,0.0258950241250818,0.0212393227379644,0.231582443592635,0.543800880870679,0.126727030681181,0.0721710821073948,0.0664474731688999,0.0398504814387385,0.0318428523980334,0.0258950241250818,0.021239322299144,0.231582443592635,0.566279965435997,0.273848222529229,0.28125846210692,0.241088790823766,0.172048262104991,0.176988791025676,0.133709191299337,0.0982497130605985,0.231582443592635,0.566279993544325,0.273848222529229,0.28125846210692,0.241088790823766,0.172048262104991,0.176988791025676,0.133709191299337,0.0982497130605985
"10",16,14,13,13,13,0,13,13,13,16,9,13,13,13,0,13,13,13,16,4,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,1.29042767445778,0.236566227454818,0.34260511315542,0.264901705080237,0.187583128242606,0.235090515048516,0.12007392207454,0.112939660574031,0.0928042852405984,0.465867641827684,0.57922626029437,0.228277494811973,0.186549606531038,0.0376877942671147,0.235090515048516,0.0168977848773918,0.0123083122707151,0.0155466220038865,0.465867641827684,0.286940010353901,0.227136701417025,0.186549606531038,0.0376878043132357,0.235090515048516,0.0168977848773918,0.0272243810923286,0.0147467865003418,0.465867641827684,0.565633063018212,0.34260511315542,0.264901705080237,0.187583128242606,0.235090515048516,0.12007392207454,0.112939660574031,0.0928042852405984,0.465867641827684,0.544485257021815,0.34260511315542,0.264901705080237,0.187583128242606,0.235090515048516,0.12007392207454,0.112939660574031,0.0928042852405984
