"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1",10,2,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0.15870780372623,0.342364355947705,0.15811240559246,0.195037287939957,0.265401894908706,0.181327938287863,0.136391729689455,0.0538530120343284,0.0460837182784175,0.255986486086119,0.19265780048499,0.15811240559246,0.195037287939957,0.265401894908706,0.181327938287863,0.136391729689455,0.0538530120343284,0.0460837182784175,0.358184266956909,0.715155549644812,0.33300363507958,0.263796357891796,0.498023626095245,0.243364322835151,0.291623965953056,0.0767506583885473,0.0891339768432536
"2",3,6,8,0,0,0,0,0,0,2,5,7,0,0,0,0,0,0,1.27814214425357,0.372187629386403,0.734535477223034,0.16895827830163,0.164310920537811,0.0856566190693368,0.0874155171716352,0.0762099369700681,0.0424304618762996,2.24404928789165,0.542340078476535,0.574001021385465,0.16895827830163,0.164310920537811,0.0856566190693368,0.0874155171716352,0.0762099369700681,0.0424304618762996,1.5994019939895,0.547279495508551,0.8183706432243,0.237944242546092,0.263931484037736,0.191843640211821,0.188516404066891,0.081527907391804,0.0677989492904932
"3",10,8,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.664748038593871,0.136449364667234,0.412354930252788,0.187442149393455,0.148938221398987,0.111378522283637,0.0887874542500364,0.112282901459527,0.0894126287587343,0.34376563863524,0.327089438383067,0.399477352899327,0.187442149393455,0.148938221398987,0.111378522283637,0.0887874542500364,0.112282901459527,0.0894126287587343,0.682947905135536,0.335913197327645,0.397754067100625,0.181977454572536,0.152185518323343,0.186478845922146,0.10074481811188,0.182893227887198,0.209443703154449
"4",9,9,9,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0.371158057368728,0.241529599701653,0.253996890259555,0.338663074803601,0.216883934583038,0.157056161405341,0.113234615157444,0.067765288219696,0.0644831462818156,0.507580514842775,0.199288006881892,0.350903932790095,0.338663074803601,0.216883934583038,0.157056161405341,0.113234615157444,0.067765288219696,0.0644831462818156,0.5529541131305,0.22661703317439,0.447090839607147,0.391657159479115,0.372044353183672,0.173377480026266,0.200262686582176,0.123738330750493,0.0923613259890133
"5",10,1,8,0,0,0,0,0,0,10,5,9,8,0,0,0,0,0,0.137298821184455,0.167906328933515,0.280296155060397,0.135676266137984,0.233133833039204,0.149833626929293,0.0989739831176407,0.139990991592025,0.100135796586181,0.203137711718489,0.363333593001374,0.536768656125877,0.135676266137984,0.233133833039204,0.149833626929293,0.0989739831176407,0.139990991592025,0.100135796586181,0.23905811465791,0.386128260188049,0.437645799866294,0.481788752871278,0.256236060951696,0.275166299501787,0.193812737397009,0.198091232181454,0.116573605976056
"6",10,9,0,0,0,0,0,0,0,10,4,7,0,0,0,0,0,0,0.561139352090457,0.153797809215593,0.344992024370417,0.195180397543656,0.0845277561344284,0.142555801991446,0.0902822371523535,0.0795424152552955,0.0570159268306923,0.644250655414414,0.542179900994175,0.344992024370417,0.195180397543656,0.0845277561344284,0.142555801991446,0.0902822371523535,0.0795424152552955,0.0570159268306923,1.2506897617266,0.333200670150288,0.583157669892856,0.267680860620378,0.233443578131065,0.328269056619597,0.147144296228185,0.116039487914445,0.106595628455994
"7",10,2,0,0,0,0,0,0,0,10,10,9,0,0,0,0,0,0,1.21115425430677,0.387402499751055,0.188420132689975,0.11331598819016,0.170798041340831,0.20474279037878,0.137234482445445,0.080654370031615,0.0728666903526714,0.354642087308266,0.324388710484449,0.188420132689975,0.11331598819016,0.170798041340831,0.20474279037878,0.137234482445445,0.080654370031615,0.0728666903526714,0.384581492401673,0.576655259161237,0.910632795417155,0.228513540278934,0.225060257462004,0.213452676729201,0.221289073484906,0.147255073697347,0.0941719995552269
"8",10,9,8,0,0,0,0,0,0,10,3,4,0,8,0,0,0,0,0.606331763416058,0.330969510393772,0.122325406434015,0.136284827757623,0.234022986967778,0.131028025675172,0.12803673190234,0.0888745967572148,0.0676473045018963,0.783672842885881,0.237138698099913,0.270720992616475,0.136284827757623,0.234022986967778,0.131028025675172,0.12803673190234,0.0888745967572148,0.0676473045018963,0.753163926667197,0.504629210859051,0.489344046127872,0.185300376629893,0.581870274016304,0.208063185299069,0.203293082988781,0.138732608967744,0.0868849717699088
"9",4,3,9,8,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0.274833495532482,0.252442023132373,0.387134854606114,0.245933099373332,0.261511835443253,0.0767871339662705,0.127620096651841,0.133831555666876,0.115029269825188,1.42724001124652,0.368139563730549,0.409395245702147,0.290144684697127,0.261511835443253,0.0767871339662705,0.127620096651841,0.133831555666876,0.115029269825188,2.10326179030166,0.277731341064009,0.70736784642624,0.403178883864877,0.862908230117413,0.22798646015532,0.13956805851759,0.247140159993918,0.126060929676958
"10",4,8,8,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0.252099007998736,0.146671957503473,0.203772608786123,0.196149791461084,0.19905493108649,0.156123819521967,0.129910307021872,0.0814056451859688,0.121142014159148,0.55748123332362,0.226736210605509,0.472828160972487,0.196149791461084,0.19905493108649,0.156123819521967,0.129910307021872,0.0814056451859688,0.121142014159148,0.364781812280442,0.199975777792445,0.473005709389478,0.271284202473383,0.349489368160313,0.151700094946205,0.192489084556324,0.104418559074212,0.160430579507999
"11",10,2,0,0,0,0,0,0,0,4,5,0,6,0,0,0,0,0,0.566561313824034,0.309766197247728,0.146166926262217,0.202589291806103,0.191335315254516,0.155174959721189,0.109537002070342,0.0635016610093852,0.0664377846807431,1.12605407183376,0.475079591732103,0.146166926262217,0.202589291806103,0.191335315254516,0.155174959721189,0.109537002070342,0.0635016610093852,0.0664377846807431,0.836509362915105,0.517399434925223,0.275702022166725,0.53250530875465,0.420828293185931,0.216832770336851,0.163605208477296,0.0972823855549534,0.130730085985205
