"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1",10,7,7,7,0,7,7,7,7,6,0,0,0,0,7,0,7,0,0.904870669114495,0.801820293558525,0.147961308737061,0.154813901777921,0.288008801345025,0.170238400889612,0.18819418707834,0.177823907559518,0.153492351527031,0.357324116687682,0.182401637872506,0.0962781302327926,0.0617858305031063,0.288008801345025,0.0868029041437914,0.0867942983252932,0.0385411964112807,0.0338431399058372,0.921958669583095,1.26323274081095,0.542786592316986,0.412291629410276,0.231020517000383,0.110027142485791,0.33984859080067,0.0855227059325484,0.260081507791951
"2",10,7,7,7,7,7,7,7,7,1,9,7,0,7,0,7,7,7,0.425150925866646,0.44914356766761,0.249755814332982,0.198941170633262,0.203501589003337,0.270488132291665,0.100195658313255,0.125686748161442,0.0975696036936548,0.864784945663353,0.119693428964054,0.128572342498249,0.0812018223851689,0.107692650402119,0.0637948171286739,0.0173783854482205,0.0424700201175154,0.0267551643718357,0.367619438404238,0.490382595011654,0.133526402529912,0.38165914220869,0.348543741105859,0.476089213868231,0.0639719144780944,0.0502361535122314,0.0408504628981239
"3",10,7,8,7,7,7,7,7,7,10,8,0,7,7,0,7,0,7,0.108042204847054,0.354694243991048,0.326864167804854,0.390113490420459,0.298282562995802,0.149750320270795,0.256594341303025,0.106072198370798,0.115187834458521,0.562471922327927,0.174284033215457,0.319719534754731,0.0699903007810564,0.131105635612536,0.0367628889166421,0.0561917000758281,0.0423569094843282,0.00992443788130304,0.435647007410663,0.388659773595439,1.00906036163812,0.456476841516286,0.205917366556535,0.204324378250463,0.0756491771249552,0.205353203473265,0.0225621457572162
"4",10,5,7,7,7,7,7,7,7,10,1,6,0,7,7,0,7,7,0.364741105338986,0.230455500092122,0.412798759140063,0.23443125029441,0.22419794504065,0.191123149886872,0.226125377243392,0.102249361211277,0.1034458656243,0.326489928431212,0.278539390908436,0.224822050145922,0.166274993125,0.0464987196134737,0.0467971185478783,0.056686348652166,0.017476335352624,0.0129382733050488,0.41059128514147,0.407050880836937,0.465457510248804,0.592302277216879,0.174754327411897,0.121976929152508,0.406396792534827,0.0343902764275826,0.0262345888605556
"5",10,7,7,7,7,7,7,7,7,6,7,7,7,7,0,7,7,0,0.423810904346616,0.151587823758872,0.335583137471358,0.217534502958631,0.241293320358136,0.236815590229667,0.188228185446515,0.167681339873366,0.0708273739587837,0.479358238425466,0.0884413040777171,0.0684041019594973,0.11985739094139,0.028253221299717,0.125641021925306,0.0252081375306815,0.0438490744503781,0.019548182443772,0.294656333210158,0.164168350791423,0.273389148800736,0.135577833420402,0.16390958992783,0.303513148168173,0.0698855090636281,0.058718614161791,0.114800385695866
"6",10,8,7,7,7,7,7,7,7,2,0,0,0,0,7,0,7,0,0.245749274066492,0.356934061242211,0.322962540599348,0.798290462749421,0.261362246753346,0.20305607745196,0.155198965270227,0.103690317348252,0.11645895390788,0.297886353883698,0.364358167391647,0.202285826259731,0.141370913992065,0.041832193310938,0.0310162906683417,0.0585232112268534,0.035819815148312,0.0469057331280416,0.697443236531376,0.863024342398497,0.335967803170552,0.944455066222894,0.402079140746458,0.0983673938797296,0.266405150986714,0.0396783077963,0.175946098548589
"7",10,7,7,7,7,7,7,7,7,4,0,0,7,7,0,7,7,7,0.19079578193468,0.323770481481954,0.231694559532555,0.179800887838383,0.225926648420155,0.161691528396507,0.100383218792895,0.113590061119946,0.08168510128166,0.459713586191966,0.274114972238671,0.0949385749163996,0.0514473762110131,0.0543883759033673,0.0547781624798932,0.0210316007835618,0.0316532889337415,0.0184622913851508,0.598489577146858,0.349530907945333,0.500876895932858,0.0289525101020851,0.189987396566297,0.240237439237563,0.0272896294118446,0.0378875731645326,0.0297467840953912
"8",10,10,5,7,7,7,7,7,0,10,5,9,7,0,7,0,0,0,0.418104951096515,0.347362450482961,0.37897308010683,0.233188324843532,0.235602390935363,0.177874504061963,0.198721655028859,0.13989797247256,0.0840607435139687,0.452603991325645,0.373672096704142,0.587422958916934,0.0624083518201246,0.0863523383540343,0.0547140827429802,0.0377162195761559,0.0299982504433076,0.0840607435139687,0.658198696613182,0.275663411366241,0.644621134287904,0.0647804273414744,0.373728716636591,0.143521346773794,0.181979959209109,0.184462963642896,0.144688057184062
"9",4,5,7,7,7,7,7,7,7,5,7,3,7,0,0,7,7,7,0.827237786197047,0.218983036598966,0.233044491038767,0.562071890052025,0.252023217751016,0.134884100624616,0.195693612947282,0.099704931510232,0.077161257865398,0.348158257614159,0.273112402528903,0.0385154916100534,0.287748545460588,0.0816227115674311,0.0280812142401956,0.0516851023744407,0.026981100611849,0.0155231897955345,0.476835885804684,0.215929472346354,0.686394002371253,0.135986725578103,0.393143415539869,0.153341373941969,0.120400753554113,0.0637396203533166,0.0580243881781242
"10",10,0,7,7,7,7,7,7,7,9,0,0,0,0,0,0,7,0,0.366723134698567,0.308635996018282,0.186624666910303,0.272591215426928,0.355154086897184,0.227024056790645,0.183796389649218,0.080594146988779,0.0775828684308067,0.519729646796048,0.308635996018282,0.0541329620063069,0.184086578745285,0.0396526374893519,0.0824582956846649,0.0687883664654202,0.0107315757675265,0.0188429138997425,0.278532102412926,0.536069369512152,0.247875786405515,0.263794626846002,0.452038711595672,0.291860741121837,0.237750053782229,0.0240425221618171,0.121036000461541
