"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"13",3,12,12,12,12,12,3,1,1,12,12,12,0.18907031624279,0.152524980625597,0.0655744017774416,0.0375019477126366,0.0454427464512157,0.0296129950781495,0.565000300970266,0.0255520496326993,0.0116267441182459,0.0057713632006491,0.00954058969749571,0.00669502162313104,0.545472651267885,0.348990912205252,0.123735245021923,0.00957995016515109,0.0126432851724489,0.00885013205749895
"14",3,1,12,12,12,12,3,1,1,12,12,12,0.218581419350597,0.114660510142719,0.108086223154161,0.0387783986165421,0.0431827539803919,0.0252306956312939,0.445907226316483,0.114660510142719,0.0282154379097914,0.00633987059921535,0.0151005800395966,0.00451307662461508,0.374056936006024,0.31842529545855,0.204700233485664,0.0112356876432812,0.0172855445415704,0.0109948953047638
"15",1,1,12,12,12,12,3,1,12,12,12,12,0.26639301200228,0.0921363725475839,0.0775892303955913,0.0390682488431005,0.0426205846379761,0.0337777810801732,0.26639301200228,0.0921363725475839,0.0239619358847245,0.00874464449479703,0.0059286140956259,0.0054303715959516,0.504474622833493,0.197066443774956,0.0360339497379767,0.0222704970492623,0.0189701116830703,0.0117853244466622
"16",1,1,12,12,12,12,3,1,12,12,12,12,0.16170654017099,0.224441092745311,0.05529583252141,0.0612270826999476,0.0381869210756794,0.0307683670864534,0.16170654017099,0.224441092745311,0.01301966319226,0.00963713623204778,0.00519207181215588,0.00533888993226913,0.434029881596998,0.233278792157989,0.0301952106308276,0.0204785567757376,0.00807018544946262,0.0114863399792321
"17",1,1,12,12,12,12,1,1,1,12,12,12,0.166804626599751,0.109557542379201,0.0851047553034634,0.0497922941890243,0.0368821835875692,0.0332523815979366,0.166804626599751,0.109557542379201,0.0167576565023813,0.0121140243419627,0.00627982013426615,0.00455962566480527,0.712538131157378,0.157533101113582,0.116556494192511,0.0170071593320874,0.0138153959119983,0.00645925812287382
"18",1,1,12,12,12,12,3,1,1,12,12,12,0.376058989125562,0.124161462964902,0.0794655438315592,0.0492743464444979,0.0310311416520906,0.0378433779910967,0.376058989125562,0.124161462964902,0.0139471120327198,0.00701254535576897,0.0061880426186692,0.00655910279624855,0.515186303055363,0.218971389427374,0.122799882102063,0.0107922304555789,0.0126416370764454,0.0130626830581812
"19",1,1,12,12,12,12,1,1,1,12,12,12,0.198256193217111,0.149894299726566,0.109918761355499,0.0502846385817023,0.0324758436560116,0.0360187672957188,0.198256193217111,0.149894299726566,0.0164509015885782,0.00713967478951651,0.00479422121594171,0.00659277434671612,0.283240316408036,0.193950460858337,0.162098024882763,0.0184459998225346,0.00998826174578384,0.0115737843303392
"20",3,1,12,12,12,12,3,1,1,12,12,12,0.281955850957835,0.161926380788428,0.0697085787702042,0.0513192506413691,0.0358552342695281,0.0357615693500536,0.622985352425464,0.161926380788428,0.01124550478873,0.0106003512324323,0.00990764959568618,0.00774018914727027,0.61304200493811,0.202815558447605,0.0821586882376228,0.023574730068838,0.0229769804497439,0.0130427664597159
"21",1,1,12,12,12,12,1,3,12,12,12,12,0.213256195694307,0.267365168569818,0.0713308296960229,0.050736256613059,0.0340359510097217,0.0348284813365857,0.213256195694307,0.267365168569818,0.0105564016331396,0.0092421954806839,0.004094554573045,0.00750917449844221,0.330028570512691,0.506271639472326,0.0214064392733753,0.0190230821798751,0.0100899642781167,0.0112903393543654
"22",2,1,12,12,12,12,3,1,12,12,12,12,0.32465551443025,0.110631179439094,0.103033791655238,0.0474269501515162,0.0435139293220997,0.032747102590396,0.312045764494906,0.110631179439094,0.0329424138168239,0.0139778035844577,0.0122582990165503,0.00509080556445455,0.624949194447294,0.247037592422281,0.0550955993632701,0.0190025739388503,0.0146150582672087,0.0131816969374319
"23",1,1,12,12,12,12,2,1,1,12,12,12,0.279608832252416,0.160712866193713,0.0934570826593399,0.0476447021601806,0.0397447364476682,0.0346535205564065,0.279608832252416,0.160712866193713,0.01770877391253,0.00815278642334456,0.012370688589771,0.00717243141230265,0.265945375354017,0.174640378635475,0.145720326132838,0.0168082129225969,0.0158274249046337,0.011611055016996
"24",3,1,12,12,12,12,1,1,12,12,12,12,0.14470561490272,0.150881585896708,0.0770862147833911,0.0501934858836163,0.0423198639082535,0.034464383413246,0.506921635930501,0.150881585896708,0.00990344467743692,0.00658143416018442,0.0098677289455147,0.00862790403056347,0.634161577236218,0.215559620483658,0.0253323782765461,0.018213944975864,0.0152864381588498,0.0141620754525621
"25",2,1,12,12,12,12,3,1,12,12,12,12,0.313268705097233,0.196963576942229,0.0666196254893424,0.0389529518518133,0.0309061637085495,0.0205592443074523,0.164728870076338,0.196963576942229,0.00844726563875795,0.00697243587164126,0.00535379176096078,0.00365792102914698,0.57440655458298,0.227595237103589,0.0167200885994851,0.0149337502433917,0.0104494163981494,0.00840438901529165
"26",1,1,12,12,12,12,1,1,1,12,12,12,0.303326937627262,0.121205407058207,0.0578853628728367,0.0545554404475383,0.0491854455513815,0.0316232097599549,0.303326937627262,0.121205407058207,0.0149618729966821,0.00953840026398405,0.0140011063918356,0.0041344725068996,0.46867977314525,0.327155793480459,0.111918815664468,0.019696410356801,0.019100169052242,0.0162522534288342
"27",3,1,12,12,12,12,3,1,1,12,12,12,0.240754002014792,0.151496989839859,0.0892986050725708,0.0517287551531592,0.0328246373480559,0.035968381649767,0.577093734275341,0.151496989839859,0.0209665415107822,0.00849300250358138,0.00950835429912581,0.00639875903072373,0.623432917042138,0.238711031572207,0.115228916338973,0.016444750907807,0.0150602869752808,0.0115576939430783
"28",2,1,12,12,12,12,3,3,1,12,12,12,0.164460298024535,0.156523795271262,0.077615482413899,0.045396309172887,0.0369040931980603,0.0344474299534126,0.127758352518953,0.156523795271262,0.0163106407005041,0.00523342872961039,0.00617985259529137,0.00508930402369775,0.581683481209759,0.467370047658682,0.13935999824005,0.011297311592254,0.0118267954969546,0.00984416307921101
"29",1,1,12,12,12,12,3,1,1,12,12,12,0.172719270946677,0.185370894613835,0.0686087371423682,0.0577015004950489,0.0456039036065387,0.0359144940551763,0.172719270946677,0.185370894613835,0.0149454190778007,0.0100643448095709,0.00482624809072944,0.00613283291473253,0.682523662397489,0.259839795366957,0.0980039909733223,0.0195400517261782,0.0101515631783795,0.0100267652699662
"30",1,1,12,12,12,12,3,2,12,12,12,12,0.210666229686789,0.148540427707004,0.0916519856585822,0.0497712393394637,0.0414435333077599,0.0307947762807628,0.210666229686789,0.148540427707004,0.0147874047966479,0.0113857729991788,0.0060177137191581,0.00616427349862243,0.509280824147521,0.169718781776573,0.0383937411251195,0.0202156263206881,0.0195757033586071,0.00855627557888237
"31",3,1,12,12,12,12,3,1,12,12,12,12,0.228864116840322,0.107120527708609,0.113744792087005,0.0416905099049144,0.0361895493910674,0.0369998186039883,0.471970470503046,0.107120527708609,0.041151895705446,0.00600423908659377,0.00788161407307682,0.00860801514182616,0.443080457683819,0.208841953501497,0.0764183059803768,0.0115937052667617,0.0133623617128881,0.0207321718467374
"32",3,1,12,12,12,12,3,1,12,12,12,12,0.220510501324698,0.159883512302207,0.104870541591639,0.0414056694091515,0.0417718773882532,0.0368115302616201,0.432709651438975,0.159883512302207,0.0297540846378928,0.00612578265546873,0.00917946230359608,0.00515979348981719,0.484857562063274,0.252326277729111,0.0485221321982078,0.0116548650746243,0.0123872941267461,0.00807679012838315
"33",3,1,12,12,12,12,3,1,12,12,12,12,0.270134832524951,0.0955257844599606,0.100313014536644,0.0554447901208091,0.0352293520421496,0.0382481473556017,0.551435766649687,0.0955257844599606,0.0434431590650429,0.00972495993065825,0.00487281678446088,0.00527253493320579,0.540461309958148,0.344291571321446,0.0609151459263536,0.0185879345272456,0.0141624394211029,0.0107958476134003
"34",1,1,12,12,12,12,1,1,12,12,12,12,0.245686506754657,0.193991008853517,0.0739510212260504,0.0580712846320621,0.0473606277678008,0.0355220872666417,0.245686506754657,0.193991008853517,0.0190271158847288,0.0101820160121497,0.0065450992428018,0.0101882724973379,0.378561127233636,0.308598710692669,0.0503332212223503,0.022967819813941,0.0221388554647023,0.0179624632590187
"35",1,1,12,12,12,12,1,1,12,12,12,12,0.162480250739262,0.102780403529296,0.084092157061269,0.0660072927065846,0.0335977745224708,0.0316642617528551,0.162480250739262,0.102780403529296,0.0306081104273478,0.0106559189772504,0.00655727619345436,0.00580296780604029,0.357202151431541,0.228943663820452,0.069182102715263,0.0205298703091888,0.0135810028282004,0.016052016156505
"36",1,12,12,12,12,12,1,12,1,12,12,12,0.119252685283621,0.116903791457415,0.0806945414783097,0.0637395469803844,0.0393849328319694,0.0385616923712239,0.119252685283621,0.0266103024196849,0.0209318944448801,0.0187452055217514,0.00826251711213269,0.00750173850414137,0.332592470814665,0.0506553671211608,0.148818421775093,0.0292504091088992,0.013535353864185,0.0151595440757287
