"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1",3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,0.144247511713377,0.437411156998775,0.321197041940078,0.405329074620031,0.327311392446208,0.323624882551024,0.307217094028594,0.291675810789471,0.286404839710482,0.256767110103969,0.282771183117107,0.306210653923493,0.332667227519166,0.360643251004372,0.303986113017129,0.397333437989486,0.292143266458355,0.295619666620695,0.316206019274782,0.00117492126718917,0.000739620350000717,0.000294950628750689,0.00159982832066659,0.000203998039736415,0.360617801913764,0.372969387712688,0.312562265516761,0.39571336180381,0.292250338374591,0.292015880318144,0.314631416119592,0.32747107821107,0.31760326478972,0.274361370803334,0.294017875434172,0.00423380527311769
"2",3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,3,2,0.196917952374873,0.290030307702989,0.379877049069509,0.276175496637415,0.252505644573158,0.279980316578284,0.297427714365373,0.330148149573851,0.290841742678248,0.313234095777321,0.317104858480615,0.315336447035028,0.211371345880469,0.292298708356114,0.398342150829699,0.265164694926734,0.278726890844263,0.300010992977454,0.305793056998704,0.00147329601939203,0.00660864973012061,0.0110742069106117,0.00126911158191064,0.00193950824742994,0.231638407983141,0.292116102408162,0.445157124379693,0.270076936542221,0.27937013509088,0.297779110641632,0.29851846699414,0.00341349099587538,0.299860727536585,0.322656308521773,0.320037286987545,0.00108257759708598
"3",3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,0.178092682103226,0.212020488588794,0.453147705919454,0.29172675274126,0.315251613157024,0.323916525868816,0.351786743775447,0.304756318734122,0.320370087096271,0.328794890940626,0.349245917627587,0.293173510282117,0.189892610990337,0.161014703281802,0.424386198785132,0.288946278582732,0.302983463051602,0.318694171104456,0.348680770793496,0.307091713555994,0.0026273089228883,0.000599770071953006,0.00102604587952679,0.000422716318758663,0.377106530037651,0.162634738311152,0.417964059752857,0.277281558013966,0.29951141213125,0.316225983721323,0.348643439721591,0.302189490746126,0.321480878375615,0.336888046851904,0.376043655311317,0.000822493970097422
"4",3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,2,0.0769692369829703,0.345412863210962,0.352476741330994,0.302085779274782,0.324864055729779,0.39971963916125,0.23408288220434,0.292087338541479,0.272284796868279,0.311751796422672,0.310148684307164,0.332974523955978,0.0431571187068002,0.291394572665639,0.380349284856839,0.323928543831726,0.339484354144431,0.369826920514121,0.00264765756415637,0.321447768613609,0.304275292267256,0.00136864772525343,0.00366301553918601,0.000813444861947596,0.0419830949171172,0.289467331018545,0.398178889213274,0.323058942794137,0.332192923798544,0.370483135915797,0.260751347894869,0.320713487374275,0.302419172415166,0.0268176056948775,0.31525300533389,0.00257385991073383
"5",3,3,3,3,2,3,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,0.644362768524252,0.451510001846764,0.413528878819708,0.325371923759496,0.357085008416548,0.300789654567229,0.325001646990684,0.340721569083622,0.315958090163193,0.279049359576783,0.302240345311287,0.31094650468113,0.556392014183175,0.505242070698697,0.339447531374797,0.300167482237649,0.00321332703327556,0.304010414344721,0.00176827038050784,0.333608199204966,0.00149673642729181,0.000526151061739537,0.00116585761087757,0.00358181456682204,0.575304730046696,0.537233959356021,0.337240447976135,0.302285484925283,0.358795619502241,0.302669772067689,0.339077011055334,0.332774243029614,0.311772687061362,0.286910888111622,0.297938940852252,0.00274713519436535
"6",3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,0.349331773856432,0.170754410682696,0.45628579183126,0.350169220603307,0.248900771804287,0.307360834020453,0.358698986642063,0.296759169666179,0.306902247640277,0.377024909261073,0.266861821458938,0.337694184511844,0.204471207306803,0.161090966374193,0.362411156769277,0.299861377023525,0.266164500150448,0.306104335289711,0.000631359569862331,0.00208940675237099,0.00142325437138966,0.000317609772341377,0.000924983634952414,0.000706995986347132,0.253701368033129,0.156964862949837,0.356167950444973,0.296084396747692,0.271414449210935,0.307626127935531,0.338663612657309,0.32181927153819,0.286268584720693,0.346103742135006,0.281243121096238,0.00162751279983658
"7",3,3,3,3,3,2,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,3,0.438968848299168,0.500805680752788,0.353430398102714,0.332621765720637,0.292463122587011,0.342084881388216,0.323433480651853,0.30041294886039,0.323944097586028,0.294297376393337,0.322127668947179,0.33386865450527,0.622931944088307,0.552742660597755,0.351668488623543,0.352785529074421,0.319476902306504,0.00415080247013908,0.31728007484476,0.000908082564154956,0.000576831409575743,0.00717812205476122,0.000945348498452922,0.000849127176166282,0.622721483151847,0.526686776300894,0.344664177565018,0.3610911401546,0.321375600939773,0.342298813785477,0.324213437835191,0.303033742547126,0.312352388730364,0.00199486303363828,0.00108337138066332,0.35152369578138
"8",3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,0.167562037475632,0.443798877588722,0.308522991190573,0.406450936237498,0.270514035723984,0.322448257540764,0.28459471125855,0.288491924052432,0.314006394046511,0.298869142493842,0.260824200139224,0.311291377454618,0.0948105691363152,0.330599547176643,0.255031339124425,0.382449712445389,0.311626353211203,0.328701478696906,0.292999726949571,0.316616013716076,0.000404120540877635,0.000428047738036931,0.000162559902153939,0.000561024570920631,0.135651626214848,0.338001026631127,0.265904062996534,0.374570819710649,0.314568723731652,0.321578254241891,0.303034338041608,0.314014615285268,0.31828596703274,0.295828582384538,0.000333986063168158,0.0017530605051673
"9",3,3,3,3,3,3,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,0.239335924569685,0.367161461570394,0.248453987617444,0.304135135196862,0.329431620839908,0.295570869206223,0.351701722168527,0.25671725132424,0.301056655712563,0.314453587469193,0.304805591163946,0.268876406330801,0.436045672830799,0.431096448128277,0.222144671968995,0.28525226591582,0.295594321515502,0.322034619494984,0.009150635284112,0.00295732287338422,0.318952127826887,0.000404878970817233,0.000549801954628603,0.000775578109918004,0.503640561673738,0.444475771554301,0.22294928991955,0.2836933427173,0.295696899413672,0.323606970173022,0.363581841037226,0.276013217433075,0.320737013565088,0.345075139154681,0.296728827483065,0.000934267045504214
"10",3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,0.503855755967541,0.347353615191046,0.237811197849676,0.363609615073908,0.333575973135461,0.291447924434127,0.323477572588449,0.287283179673437,0.33140950823289,0.319519345395947,0.311997750578126,0.290575751257596,0.377058246271999,0.280369305595388,0.331161831815977,0.35811592429273,0.364515080317774,0.317520664088874,0.314640387787226,0.00145291875070427,0.000455421962125084,0.000281228556482826,0.00136930811751196,0.000426167207127964,0.36506862697804,0.281889982353536,0.341888167320715,0.365696827155151,0.360590658899394,0.325189988420603,0.315486088042637,0.310311415943846,0.333165024651888,0.309924053457741,0.324559798479142,0.303105976605881
