"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",1,1,1,1,1,1,1,1,1,1,1,1,0.192721141212972,0.073644675006844,0.0759389285773006,0.0470078303960472,0.0193285949806518,0.022959963613353,0.192721141212972,0.073644675006844,0.0759389285773006,0.0470078303960472,0.0193285949806518,0.022959963613353,0.340839593184861,0.183333255144805,0.113385068653403,0.0919928882304847,0.0315120969352567,0.0333657477317556
"2",1,14,1,1,1,1,1,1,1,1,1,1,0.231021873040319,0.11992576825613,0.047596103152718,0.0430663722897442,0.0284083268215791,0.0210118056959616,0.231021873040319,0.184990450193778,0.047596103152718,0.0430663722897442,0.0284083268215791,0.0210118056959616,0.253230076848164,0.154362167671024,0.0681985286119933,0.0802835112024406,0.0427311114986724,0.0296744601328247
"3",1,1,1,1,1,1,1,7,1,1,1,1,0.18504039411169,0.0990642354606383,0.0646248621478794,0.0394355503772366,0.0355086739871974,0.0222133921583154,0.18504039411169,0.0990642354606383,0.0646248621478794,0.0394355503772366,0.0355086739871974,0.0222133921583154,0.16479389869761,0.331447888901724,0.1075198691315,0.0566939491754535,0.0539165112260599,0.0367653948145548
"4",6,1,1,1,1,1,1,7,1,1,1,1,0.238896783054088,0.124214454072394,0.0575181654562878,0.0472365359163313,0.0222284527252289,0.0210760078828625,0.481135769296989,0.124214454072394,0.0575181654562878,0.0472365359163313,0.0222284527252289,0.0210760078828625,0.2768173562708,0.421809981673249,0.0632073960151595,0.0844847492611632,0.0318153566245437,0.0350949417603334
"5",1,14,1,1,1,1,1,14,1,1,1,1,0.116801066908452,0.164481040513017,0.0550491101495909,0.0347535760904752,0.0231569388022036,0.020689196501798,0.116801066908452,0.225579950185593,0.0550491101495909,0.0347535760904752,0.0231569388022036,0.020689196501798,0.173301572668971,0.413483877789632,0.11904910147387,0.0508910760283214,0.0438212673693347,0.0335053857158318
"6",1,1,1,1,1,1,1,1,1,1,1,1,0.121064144898413,0.0863227465140672,0.0700210645244891,0.0418079241474024,0.0224655727899434,0.028609585193102,0.121064144898413,0.0863227465140672,0.0700210645244891,0.0418079241474024,0.0224655727899434,0.028609585193102,0.223911707752867,0.177115130591957,0.0932976184060555,0.0667693165299885,0.0428672592868487,0.0402453349607819
"7",1,1,1,1,1,1,1,1,1,1,1,1,0.195900082871999,0.0758343571542239,0.0812616125367896,0.0406534809915364,0.035681505078372,0.0215740949198688,0.195900082871999,0.0758343571542239,0.0812616125367896,0.0406534809915364,0.035681505078372,0.0215740949198688,0.221559726113456,0.187928254398474,0.198712984077407,0.0971160676641842,0.0465614605083365,0.0296961372808518
"8",1,1,1,1,1,1,14,1,1,1,1,1,0.160473467178608,0.145637213366294,0.0478691085329448,0.0466331910919804,0.0297512255103334,0.0201432153690682,0.160473467178608,0.145637213366294,0.0478691085329448,0.0466331910919804,0.0297512255103334,0.0201432153690682,0.337265027081473,0.141168967532294,0.076414007386518,0.0692019696810209,0.0586085979329449,0.0323676723471402
"9",1,1,1,1,1,1,1,7,1,1,1,1,0.436648263529629,0.167312958704518,0.0824681481272214,0.043908425955069,0.0220553031296436,0.0192719906467387,0.436648263529629,0.167312958704518,0.0824681481272214,0.043908425955069,0.0220553031296436,0.0192719906467387,0.803021335543787,0.498543511377722,0.133897424055226,0.0634176250029902,0.0391580873268939,0.0348315863519723
"10",1,1,1,1,1,1,1,1,1,1,1,1,0.131857008975738,0.0840583448309691,0.0567011395780756,0.037127010325857,0.0325496635655061,0.0214174586516707,0.131857008975738,0.0840583448309691,0.0567011395780756,0.037127010325857,0.0325496635655061,0.0214174586516707,0.245837021239404,0.201900842197007,0.0865801028909663,0.068695650832454,0.0461975053224456,0.0472493581943265
"11",1,1,1,1,1,1,1,1,1,1,1,1,0.122229115677736,0.0583398526398524,0.0813005098875522,0.0324494371633814,0.0332384046843578,0.0242678049896197,0.122229115677736,0.0583398526398524,0.0813005098875522,0.0324494371633814,0.0332384046843578,0.0242678049896197,0.322010935793405,0.17940177508194,0.14760881634552,0.0468894789971867,0.0572335911716986,0.0381735120747848
"12",14,1,1,1,1,1,1,1,1,1,1,1,0.270171453911726,0.0986660182602061,0.0733946224903446,0.0278791638181688,0.0242367239126794,0.028269133837441,0.286762963396109,0.0986660182602061,0.0733946224903446,0.0278791638181688,0.0242367239126794,0.028269133837441,0.214408806348031,0.173367070803371,0.0763222499534976,0.0508256229567828,0.0401574872601025,0.0413153263440797
"13",7,1,1,1,1,1,1,1,1,1,1,1,0.217186028001497,0.0661361426644346,0.0520521433725714,0.0340495955119249,0.0314944760339412,0.021272567256206,0.396188629891079,0.0661361426644346,0.0520521433725714,0.0340495955119249,0.0314944760339412,0.021272567256206,0.345379713056491,0.107999208680463,0.107164395763825,0.0593863393216424,0.0500845024316756,0.0325284793822205
"14",14,1,1,1,1,1,1,10,1,1,1,1,0.125818164035096,0.117442888490167,0.0467735889043917,0.0351945476893991,0.0286660373911303,0.0219070129610085,0.214876465473379,0.117442888490167,0.0467735889043917,0.0351945476893991,0.0286660373911303,0.0219070129610085,0.248606502307499,0.545171446200334,0.101538896092238,0.0615047258027169,0.0404093752556346,0.0383418940917099
"15",1,1,1,1,1,1,1,1,1,1,1,1,0.160799485201873,0.122910600840086,0.0680896753551387,0.0417213038008742,0.033888388384256,0.0179625016938247,0.160799485201873,0.122910600840086,0.0680896753551387,0.0417213038008742,0.033888388384256,0.0179625016938247,0.193835905588632,0.207792054113171,0.115226963403769,0.0626483594676757,0.049987600340593,0.031042204998801
